participant,trial,order,ball,causation,outcome
1,1,10,a,80,prevented
1,1,10,b,80,prevented
1,2,17,a,30,prevented
1,2,17,b,30,prevented
1,3,20,a,100,caused
1,3,20,b,100,caused
1,4,12,a,50,caused
1,4,12,b,80,caused
1,5,21,a,90,prevented
1,5,21,b,10,prevented
1,6,19,a,100,prevented
1,6,19,b,11,prevented
1,7,29,a,60,caused
1,7,29,b,100,caused
1,8,31,a,10,caused
1,8,31,b,80,caused
1,9,30,a,0,prevented
1,9,30,b,100,prevented
1,10,13,a,20,prevented
1,10,13,b,20,prevented
1,11,9,a,100,caused
1,11,9,b,0,caused
1,12,26,a,40,caused
1,12,26,b,20,caused
1,13,34,a,30,prevented
1,13,34,b,90,prevented
1,14,5,a,40,prevented
1,14,5,b,60,prevented
1,15,27,a,91,caused
1,15,27,b,93,caused
1,16,32,a,100,caused
1,16,32,b,0,caused
1,17,15,a,80,prevented
1,17,15,b,70,prevented
1,18,18,a,70,prevented
1,18,18,b,80,prevented
1,19,14,a,10,caused
1,19,14,b,10,caused
1,20,4,a,20,caused
1,20,4,b,91,caused
1,21,23,a,60,prevented
1,21,23,b,50,prevented
1,22,24,a,80,prevented
1,22,24,b,100,prevented
1,23,7,a,0,caused
1,23,7,b,100,caused
1,24,8,a,60,caused
1,24,8,b,71,caused
1,25,28,a,73,prevented
1,25,28,b,91,prevented
1,26,25,a,61,prevented
1,26,25,b,90,prevented
1,27,33,a,40,caused
1,27,33,b,0,caused
1,28,3,a,100,caused
1,28,3,b,0,caused
1,29,22,a,40,prevented
1,29,22,b,80,prevented
1,30,6,a,100,prevented
1,30,6,b,60,prevented
1,31,11,a,50,caused
1,31,11,b,70,caused
1,32,16,a,0,caused
1,32,16,b,61,caused
2,1,6,a,95,prevented
2,1,6,b,94,prevented
2,2,28,a,99,prevented
2,2,28,b,100,prevented
2,3,13,a,98,caused
2,3,13,b,99,caused
2,4,3,a,9,caused
2,4,3,b,99,caused
2,5,9,a,98,prevented
2,5,9,b,63,prevented
2,6,14,a,96,prevented
2,6,14,b,4,prevented
2,7,10,a,99,caused
2,7,10,b,77,caused
2,8,23,a,0,caused
2,8,23,b,100,caused
2,9,16,a,0,prevented
2,9,16,b,100,prevented
2,10,17,a,1,prevented
2,10,17,b,55,prevented
2,11,19,a,83,caused
2,11,19,b,1,caused
2,12,33,a,48,caused
2,12,33,b,97,caused
2,13,22,a,0,prevented
2,13,22,b,1,prevented
2,14,7,a,0,prevented
2,14,7,b,0,prevented
2,15,30,a,99,caused
2,15,30,b,98,caused
2,16,29,a,1,caused
2,16,29,b,100,caused
2,17,32,a,98,prevented
2,17,32,b,99,prevented
2,18,34,a,100,prevented
2,18,34,b,100,prevented
2,19,5,a,100,caused
2,19,5,b,100,caused
2,20,18,a,34,caused
2,20,18,b,98,caused
2,21,21,a,97,prevented
2,21,21,b,88,prevented
2,22,12,a,98,prevented
2,22,12,b,5,prevented
2,23,11,a,0,caused
2,23,11,b,19,caused
2,24,20,a,75,caused
2,24,20,b,100,caused
2,25,24,a,10,prevented
2,25,24,b,99,prevented
2,26,26,a,26,prevented
2,26,26,b,98,prevented
2,27,15,a,100,caused
2,27,15,b,1,caused
2,28,31,a,99,caused
2,28,31,b,0,caused
2,29,27,a,98,prevented
2,29,27,b,71,prevented
2,30,8,a,51,prevented
2,30,8,b,94,prevented
2,31,4,a,98,caused
2,31,4,b,99,caused
2,32,25,a,0,caused
2,32,25,b,100,caused
3,1,16,a,0,prevented
3,1,16,b,1,prevented
3,2,19,a,51,prevented
3,2,19,b,50,prevented
3,3,29,a,50,caused
3,3,29,b,51,caused
3,4,31,a,50,caused
3,4,31,b,51,caused
3,5,6,a,99,prevented
3,5,6,b,0,prevented
3,6,8,a,89,prevented
3,6,8,b,18,prevented
3,7,14,a,51,caused
3,7,14,b,50,caused
3,8,4,a,0,caused
3,8,4,b,100,caused
3,9,9,a,0,prevented
3,9,9,b,100,prevented
3,10,30,a,41,prevented
3,10,30,b,19,prevented
3,11,17,a,99,caused
3,11,17,b,0,caused
3,12,25,a,100,caused
3,12,25,b,19,caused
3,13,11,a,40,prevented
3,13,11,b,70,prevented
3,14,20,a,50,prevented
3,14,20,b,49,prevented
3,15,22,a,100,caused
3,15,22,b,100,caused
3,16,7,a,100,caused
3,16,7,b,0,caused
3,17,21,a,60,prevented
3,17,21,b,39,prevented
3,18,26,a,51,prevented
3,18,26,b,49,prevented
3,19,33,a,11,caused
3,19,33,b,10,caused
3,20,24,a,50,caused
3,20,24,b,50,caused
3,21,10,a,50,prevented
3,21,10,b,50,prevented
3,22,27,a,69,prevented
3,22,27,b,40,prevented
3,23,23,a,1,caused
3,23,23,b,50,caused
3,24,28,a,50,caused
3,24,28,b,50,caused
3,25,12,a,48,prevented
3,25,12,b,50,prevented
3,26,3,a,31,prevented
3,26,3,b,90,prevented
3,27,13,a,100,caused
3,27,13,b,0,caused
3,28,18,a,89,caused
3,28,18,b,0,caused
3,29,34,a,39,prevented
3,29,34,b,40,prevented
3,30,32,a,20,prevented
3,30,32,b,40,prevented
3,31,5,a,19,caused
3,31,5,b,0,caused
3,32,15,a,0,caused
3,32,15,b,100,caused
4,1,22,a,70,prevented
4,1,22,b,50,prevented
4,2,21,a,100,prevented
4,2,21,b,0,prevented
4,3,17,a,80,caused
4,3,17,b,80,caused
4,4,5,a,30,caused
4,4,5,b,100,caused
4,5,20,a,100,prevented
4,5,20,b,0,prevented
4,6,27,a,100,prevented
4,6,27,b,20,prevented
4,7,3,a,50,caused
4,7,3,b,100,caused
4,8,12,a,0,caused
4,8,12,b,100,caused
4,9,31,a,0,prevented
4,9,31,b,100,prevented
4,10,18,a,0,prevented
4,10,18,b,100,prevented
4,11,29,a,100,caused
4,11,29,b,0,caused
4,12,15,a,100,caused
4,12,15,b,0,caused
4,13,30,a,0,prevented
4,13,30,b,100,prevented
4,14,8,a,50,prevented
4,14,8,b,50,prevented
4,15,6,a,100,caused
4,15,6,b,100,caused
4,16,28,a,100,caused
4,16,28,b,0,caused
4,17,33,a,100,prevented
4,17,33,b,20,prevented
4,18,19,a,70,prevented
4,18,19,b,100,prevented
4,19,10,a,0,caused
4,19,10,b,0,caused
4,20,9,a,60,caused
4,20,9,b,100,caused
4,21,24,a,100,prevented
4,21,24,b,20,prevented
4,22,23,a,50,prevented
4,22,23,b,100,prevented
4,23,7,a,0,caused
4,23,7,b,100,caused
4,24,11,a,30,caused
4,24,11,b,100,caused
4,25,13,a,30,prevented
4,25,13,b,100,prevented
4,26,14,a,60,prevented
4,26,14,b,90,prevented
4,27,32,a,100,caused
4,27,32,b,0,caused
4,28,16,a,100,caused
4,28,16,b,0,caused
4,29,25,a,20,prevented
4,29,25,b,100,prevented
4,30,4,a,60,prevented
4,30,4,b,100,prevented
4,31,34,a,0,caused
4,31,34,b,0,caused
4,32,26,a,0,caused
4,32,26,b,100,caused
5,1,34,a,21,prevented
5,1,34,b,32,prevented
5,2,12,a,53,prevented
5,2,12,b,52,prevented
5,3,26,a,87,caused
5,3,26,b,88,caused
5,4,21,a,95,caused
5,4,21,b,99,caused
5,5,15,a,98,prevented
5,5,15,b,11,prevented
5,6,20,a,89,prevented
5,6,20,b,6,prevented
5,7,11,a,72,caused
5,7,11,b,88,caused
5,8,22,a,2,caused
5,8,22,b,98,caused
5,9,31,a,15,prevented
5,9,31,b,96,prevented
5,10,9,a,45,prevented
5,10,9,b,94,prevented
5,11,32,a,93,caused
5,11,32,b,7,caused
5,12,6,a,90,caused
5,12,6,b,32,caused
5,13,19,a,1,prevented
5,13,19,b,98,prevented
5,14,3,a,70,prevented
5,14,3,b,70,prevented
5,15,29,a,75,caused
5,15,29,b,76,caused
5,16,18,a,96,caused
5,16,18,b,0,caused
5,17,27,a,31,prevented
5,17,27,b,50,prevented
5,18,10,a,53,prevented
5,18,10,b,69,prevented
5,19,17,a,22,caused
5,19,17,b,22,caused
5,20,33,a,32,caused
5,20,33,b,74,caused
5,21,7,a,80,prevented
5,21,7,b,39,prevented
5,22,8,a,99,prevented
5,22,8,b,10,prevented
5,23,5,a,15,caused
5,23,5,b,99,caused
5,24,25,a,19,caused
5,24,25,b,89,caused
5,25,30,a,52,prevented
5,25,30,b,93,prevented
5,26,23,a,28,prevented
5,26,23,b,95,prevented
5,27,28,a,22,caused
5,27,28,b,1,caused
5,28,14,a,98,caused
5,28,14,b,1,caused
5,29,13,a,61,prevented
5,29,13,b,91,prevented
5,30,24,a,72,prevented
5,30,24,b,32,prevented
5,31,16,a,22,caused
5,31,16,b,23,caused
5,32,4,a,99,caused
5,32,4,b,0,caused
6,1,23,a,0,prevented
6,1,23,b,0,prevented
6,2,22,a,0,prevented
6,2,22,b,0,prevented
6,3,14,a,100,caused
6,3,14,b,100,caused
6,4,32,a,50,caused
6,4,32,b,50,caused
6,5,28,a,1,prevented
6,5,28,b,100,prevented
6,6,24,a,100,prevented
6,6,24,b,1,prevented
6,7,31,a,30,caused
6,7,31,b,100,caused
6,8,20,a,0,caused
6,8,20,b,100,caused
6,9,19,a,0,prevented
6,9,19,b,92,prevented
6,10,15,a,10,prevented
6,10,15,b,10,prevented
6,11,34,a,100,caused
6,11,34,b,0,caused
6,12,5,a,99,caused
6,12,5,b,70,caused
6,13,30,a,0,prevented
6,13,30,b,1,prevented
6,14,26,a,0,prevented
6,14,26,b,2,prevented
6,15,4,a,78,caused
6,15,4,b,79,caused
6,16,27,a,99,caused
6,16,27,b,0,caused
6,17,25,a,80,prevented
6,17,25,b,60,prevented
6,18,8,a,19,prevented
6,18,8,b,19,prevented
6,19,9,a,81,caused
6,19,9,b,82,caused
6,20,21,a,50,caused
6,20,21,b,50,caused
6,21,7,a,29,prevented
6,21,7,b,30,prevented
6,22,33,a,100,prevented
6,22,33,b,0,prevented
6,23,17,a,1,caused
6,23,17,b,42,caused
6,24,11,a,50,caused
6,24,11,b,50,caused
6,25,18,a,99,prevented
6,25,18,b,50,prevented
6,26,13,a,0,prevented
6,26,13,b,100,prevented
6,27,29,a,100,caused
6,27,29,b,18,caused
6,28,10,a,100,caused
6,28,10,b,0,caused
6,29,12,a,70,prevented
6,29,12,b,30,prevented
6,30,3,a,50,prevented
6,30,3,b,100,prevented
6,31,16,a,50,caused
6,31,16,b,100,caused
6,32,6,a,0,caused
6,32,6,b,100,caused
7,1,3,a,79,prevented
7,1,3,b,80,prevented
7,2,11,a,0,prevented
7,2,11,b,0,prevented
7,3,24,a,100,caused
7,3,24,b,100,caused
7,4,6,a,100,caused
7,4,6,b,99,caused
7,5,7,a,100,prevented
7,5,7,b,1,prevented
7,6,4,a,100,prevented
7,6,4,b,0,prevented
7,7,26,a,100,caused
7,7,26,b,100,caused
7,8,15,a,1,caused
7,8,15,b,100,caused
7,9,14,a,0,prevented
7,9,14,b,99,prevented
7,10,18,a,11,prevented
7,10,18,b,90,prevented
7,11,32,a,100,caused
7,11,32,b,0,caused
7,12,33,a,100,caused
7,12,33,b,10,caused
7,13,20,a,20,prevented
7,13,20,b,100,prevented
7,14,31,a,1,prevented
7,14,31,b,0,prevented
7,15,21,a,99,caused
7,15,21,b,100,caused
7,16,34,a,100,caused
7,16,34,b,0,caused
7,17,10,a,99,prevented
7,17,10,b,11,prevented
7,18,30,a,99,prevented
7,18,30,b,99,prevented
7,19,9,a,10,caused
7,19,9,b,10,caused
7,20,27,a,30,caused
7,20,27,b,51,caused
7,21,29,a,100,prevented
7,21,29,b,21,prevented
7,22,25,a,70,prevented
7,22,25,b,0,prevented
7,23,5,a,1,caused
7,23,5,b,70,caused
7,24,8,a,50,caused
7,24,8,b,60,caused
7,25,22,a,81,prevented
7,25,22,b,100,prevented
7,26,23,a,100,prevented
7,26,23,b,100,prevented
7,27,12,a,50,caused
7,27,12,b,0,caused
7,28,13,a,100,caused
7,28,13,b,0,caused
7,29,16,a,90,prevented
7,29,16,b,81,prevented
7,30,19,a,100,prevented
7,30,19,b,100,prevented
7,31,17,a,50,caused
7,31,17,b,50,caused
7,32,28,a,1,caused
7,32,28,b,99,caused
8,1,9,a,13,prevented
8,1,9,b,0,prevented
8,2,20,a,1,prevented
8,2,20,b,0,prevented
8,3,7,a,100,caused
8,3,7,b,100,caused
8,4,29,a,50,caused
8,4,29,b,50,caused
8,5,17,a,100,prevented
8,5,17,b,4,prevented
8,6,11,a,22,prevented
8,6,11,b,72,prevented
8,7,31,a,5,caused
8,7,31,b,99,caused
8,8,28,a,7,caused
8,8,28,b,73,caused
8,9,33,a,1,prevented
8,9,33,b,100,prevented
8,10,5,a,0,prevented
8,10,5,b,0,prevented
8,11,21,a,100,caused
8,11,21,b,0,caused
8,12,12,a,100,caused
8,12,12,b,0,caused
8,13,26,a,0,prevented
8,13,26,b,2,prevented
8,14,15,a,0,prevented
8,14,15,b,0,prevented
8,15,14,a,50,caused
8,15,14,b,51,caused
8,16,16,a,100,caused
8,16,16,b,1,caused
8,17,6,a,94,prevented
8,17,6,b,0,prevented
8,18,8,a,51,prevented
8,18,8,b,51,prevented
8,19,22,a,49,caused
8,19,22,b,50,caused
8,20,27,a,51,caused
8,20,27,b,19,caused
8,21,18,a,82,prevented
8,21,18,b,19,prevented
8,22,10,a,9,prevented
8,22,10,b,84,prevented
8,23,4,a,62,caused
8,23,4,b,17,caused
8,24,34,a,35,caused
8,24,34,b,36,caused
8,25,19,a,11,prevented
8,25,19,b,91,prevented
8,26,3,a,69,prevented
8,26,3,b,0,prevented
8,27,24,a,10,caused
8,27,24,b,0,caused
8,28,25,a,41,caused
8,28,25,b,0,caused
8,29,30,a,9,prevented
8,29,30,b,89,prevented
8,30,32,a,91,prevented
8,30,32,b,2,prevented
8,31,13,a,0,caused
8,31,13,b,0,caused
8,32,23,a,0,caused
8,32,23,b,20,caused
9,1,31,a,10,prevented
9,1,31,b,9,prevented
9,2,11,a,11,prevented
9,2,11,b,1,prevented
9,3,18,a,100,caused
9,3,18,b,100,caused
9,4,14,a,80,caused
9,4,14,b,81,caused
9,5,13,a,100,prevented
9,5,13,b,0,prevented
9,6,21,a,99,prevented
9,6,21,b,1,prevented
9,7,27,a,46,caused
9,7,27,b,98,caused
9,8,5,a,1,caused
9,8,5,b,100,caused
9,9,34,a,0,prevented
9,9,34,b,99,prevented
9,10,8,a,0,prevented
9,10,8,b,1,prevented
9,11,20,a,99,caused
9,11,20,b,1,caused
9,12,26,a,100,caused
9,12,26,b,9,caused
9,13,10,a,1,prevented
9,13,10,b,89,prevented
9,14,28,a,80,prevented
9,14,28,b,2,prevented
9,15,4,a,100,caused
9,15,4,b,99,caused
9,16,22,a,100,caused
9,16,22,b,0,caused
9,17,33,a,11,prevented
9,17,33,b,69,prevented
9,18,3,a,1,prevented
9,18,3,b,79,prevented
9,19,19,a,20,caused
9,19,19,b,19,caused
9,20,16,a,1,caused
9,20,16,b,78,caused
9,21,29,a,100,prevented
9,21,29,b,1,prevented
9,22,6,a,100,prevented
9,22,6,b,0,prevented
9,23,9,a,0,caused
9,23,9,b,19,caused
9,24,23,a,10,caused
9,24,23,b,100,caused
9,25,32,a,21,prevented
9,25,32,b,98,prevented
9,26,7,a,11,prevented
9,26,7,b,100,prevented
9,27,15,a,11,caused
9,27,15,b,0,caused
9,28,25,a,90,caused
9,28,25,b,0,caused
9,29,24,a,5,prevented
9,29,24,b,70,prevented
9,30,17,a,11,prevented
9,30,17,b,11,prevented
9,31,12,a,10,caused
9,31,12,b,11,caused
9,32,30,a,0,caused
9,32,30,b,22,caused
10,1,33,a,0,prevented
10,1,33,b,1,prevented
10,2,3,a,7,prevented
10,2,3,b,8,prevented
10,3,28,a,71,caused
10,3,28,b,71,caused
10,4,18,a,80,caused
10,4,18,b,80,caused
10,5,22,a,100,prevented
10,5,22,b,0,prevented
10,6,24,a,0,prevented
10,6,24,b,99,prevented
10,7,25,a,1,caused
10,7,25,b,99,caused
10,8,27,a,0,caused
10,8,27,b,100,caused
10,9,10,a,6,prevented
10,9,10,b,95,prevented
10,10,11,a,10,prevented
10,10,11,b,30,prevented
10,11,9,a,99,caused
10,11,9,b,0,caused
10,12,23,a,100,caused
10,12,23,b,0,caused
10,13,8,a,13,prevented
10,13,8,b,12,prevented
10,14,34,a,0,prevented
10,14,34,b,0,prevented
10,15,19,a,50,caused
10,15,19,b,50,caused
10,16,15,a,100,caused
10,16,15,b,0,caused
10,17,29,a,99,prevented
10,17,29,b,21,prevented
10,18,31,a,2,prevented
10,18,31,b,100,prevented
10,19,14,a,99,caused
10,19,14,b,99,caused
10,20,13,a,51,caused
10,20,13,b,81,caused
10,21,26,a,100,prevented
10,21,26,b,0,prevented
10,22,7,a,100,prevented
10,22,7,b,1,prevented
10,23,20,a,0,caused
10,23,20,b,42,caused
10,24,30,a,1,caused
10,24,30,b,1,caused
10,25,17,a,36,prevented
10,25,17,b,77,prevented
10,26,12,a,0,prevented
10,26,12,b,99,prevented
10,27,6,a,99,caused
10,27,6,b,0,caused
10,28,21,a,100,caused
10,28,21,b,0,caused
10,29,16,a,100,prevented
10,29,16,b,19,prevented
10,30,32,a,100,prevented
10,30,32,b,1,prevented
10,31,5,a,1,caused
10,31,5,b,1,caused
10,32,4,a,0,caused
10,32,4,b,100,caused
11,1,14,a,100,prevented
11,1,14,b,9,prevented
11,2,13,a,0,prevented
11,2,13,b,0,prevented
11,3,32,a,50,caused
11,3,32,b,50,caused
11,4,29,a,80,caused
11,4,29,b,80,caused
11,5,20,a,100,prevented
11,5,20,b,0,prevented
11,6,15,a,100,prevented
11,6,15,b,0,prevented
11,7,7,a,0,caused
11,7,7,b,100,caused
11,8,11,a,0,caused
11,8,11,b,100,caused
11,9,17,a,0,prevented
11,9,17,b,100,prevented
11,10,9,a,0,prevented
11,10,9,b,100,prevented
11,11,31,a,100,caused
11,11,31,b,0,caused
11,12,33,a,90,caused
11,12,33,b,10,caused
11,13,23,a,20,prevented
11,13,23,b,100,prevented
11,14,6,a,0,prevented
11,14,6,b,0,prevented
11,15,30,a,50,caused
11,15,30,b,50,caused
11,16,27,a,100,caused
11,16,27,b,0,caused
11,17,8,a,100,prevented
11,17,8,b,0,prevented
11,18,24,a,35,prevented
11,18,24,b,75,prevented
11,19,10,a,10,caused
11,19,10,b,10,caused
11,20,5,a,31,caused
11,20,5,b,71,caused
11,21,22,a,65,prevented
11,21,22,b,27,prevented
11,22,12,a,100,prevented
11,22,12,b,0,prevented
11,23,16,a,0,caused
11,23,16,b,100,caused
11,24,28,a,0,caused
11,24,28,b,100,caused
11,25,26,a,29,prevented
11,25,26,b,100,prevented
11,26,34,a,0,prevented
11,26,34,b,100,prevented
11,27,18,a,98,caused
11,27,18,b,0,caused
11,28,25,a,100,caused
11,28,25,b,0,caused
11,29,19,a,38,prevented
11,29,19,b,100,prevented
11,30,21,a,86,prevented
11,30,21,b,48,prevented
11,31,3,a,20,caused
11,31,3,b,20,caused
11,32,4,a,0,caused
11,32,4,b,100,caused
12,1,22,a,96,prevented
12,1,22,b,93,prevented
12,2,5,a,1,prevented
12,2,5,b,0,prevented
12,3,26,a,99,caused
12,3,26,b,100,caused
12,4,29,a,91,caused
12,4,29,b,96,caused
12,5,30,a,44,prevented
12,5,30,b,49,prevented
12,6,10,a,100,prevented
12,6,10,b,95,prevented
12,7,19,a,99,caused
12,7,19,b,99,caused
12,8,20,a,1,caused
12,8,20,b,100,caused
12,9,12,a,37,prevented
12,9,12,b,45,prevented
12,10,3,a,0,prevented
12,10,3,b,0,prevented
12,11,14,a,99,caused
12,11,14,b,0,caused
12,12,27,a,52,caused
12,12,27,b,94,caused
12,13,34,a,51,prevented
12,13,34,b,49,prevented
12,14,23,a,0,prevented
12,14,23,b,8,prevented
12,15,9,a,100,caused
12,15,9,b,100,caused
12,16,21,a,99,caused
12,16,21,b,0,caused
12,17,16,a,100,prevented
12,17,16,b,100,prevented
12,18,17,a,99,prevented
12,18,17,b,98,prevented
12,19,6,a,99,caused
12,19,6,b,100,caused
12,20,31,a,100,caused
12,20,31,b,100,caused
12,21,25,a,95,prevented
12,21,25,b,92,prevented
12,22,15,a,14,prevented
12,22,15,b,100,prevented
12,23,32,a,99,caused
12,23,32,b,99,caused
12,24,11,a,92,caused
12,24,11,b,83,caused
12,25,8,a,64,prevented
12,25,8,b,33,prevented
12,26,28,a,100,prevented
12,26,28,b,100,prevented
12,27,24,a,100,caused
12,27,24,b,6,caused
12,28,7,a,100,caused
12,28,7,b,0,caused
12,29,18,a,99,prevented
12,29,18,b,41,prevented
12,30,13,a,98,prevented
12,30,13,b,72,prevented
12,31,33,a,100,caused
12,31,33,b,61,caused
12,32,4,a,0,caused
12,32,4,b,89,caused
13,1,33,a,34,prevented
13,1,33,b,35,prevented
13,2,31,a,74,prevented
13,2,31,b,76,prevented
13,3,20,a,100,caused
13,3,20,b,100,caused
13,4,15,a,100,caused
13,4,15,b,100,caused
13,5,17,a,100,prevented
13,5,17,b,1,prevented
13,6,23,a,90,prevented
13,6,23,b,29,prevented
13,7,18,a,100,caused
13,7,18,b,100,caused
13,8,5,a,0,caused
13,8,5,b,100,caused
13,9,34,a,0,prevented
13,9,34,b,100,prevented
13,10,3,a,45,prevented
13,10,3,b,45,prevented
13,11,8,a,100,caused
13,11,8,b,1,caused
13,12,19,a,89,caused
13,12,19,b,70,caused
13,13,4,a,20,prevented
13,13,4,b,71,prevented
13,14,32,a,54,prevented
13,14,32,b,55,prevented
13,15,22,a,100,caused
13,15,22,b,100,caused
13,16,9,a,100,caused
13,16,9,b,0,caused
13,17,6,a,28,prevented
13,17,6,b,29,prevented
13,18,13,a,60,prevented
13,18,13,b,45,prevented
13,19,24,a,100,caused
13,19,24,b,100,caused
13,20,29,a,46,caused
13,20,29,b,46,caused
13,21,7,a,20,prevented
13,21,7,b,20,prevented
13,22,21,a,100,prevented
13,22,21,b,25,prevented
13,23,12,a,0,caused
13,23,12,b,100,caused
13,24,14,a,100,caused
13,24,14,b,100,caused
13,25,16,a,58,prevented
13,25,16,b,24,prevented
13,26,10,a,1,prevented
13,26,10,b,99,prevented
13,27,30,a,35,caused
13,27,30,b,35,caused
13,28,11,a,100,caused
13,28,11,b,1,caused
13,29,25,a,90,prevented
13,29,25,b,74,prevented
13,30,26,a,79,prevented
13,30,26,b,74,prevented
13,31,28,a,45,caused
13,31,28,b,45,caused
13,32,27,a,0,caused
13,32,27,b,60,caused
14,1,12,a,20,prevented
14,1,12,b,81,prevented
14,2,19,a,50,prevented
14,2,19,b,20,prevented
14,3,34,a,100,caused
14,3,34,b,100,caused
14,4,15,a,59,caused
14,4,15,b,59,caused
14,5,17,a,99,prevented
14,5,17,b,9,prevented
14,6,28,a,91,prevented
14,6,28,b,60,prevented
14,7,3,a,100,caused
14,7,3,b,100,caused
14,8,21,a,0,caused
14,8,21,b,100,caused
14,9,33,a,1,prevented
14,9,33,b,100,prevented
14,10,16,a,20,prevented
14,10,16,b,40,prevented
14,11,32,a,100,caused
14,11,32,b,0,caused
14,12,13,a,91,caused
14,12,13,b,11,caused
14,13,26,a,1,prevented
14,13,26,b,99,prevented
14,14,27,a,50,prevented
14,14,27,b,50,prevented
14,15,18,a,50,caused
14,15,18,b,49,caused
14,16,4,a,99,caused
14,16,4,b,1,caused
14,17,7,a,29,prevented
14,17,7,b,91,prevented
14,18,29,a,70,prevented
14,18,29,b,80,prevented
14,19,31,a,91,caused
14,19,31,b,91,caused
14,20,25,a,19,caused
14,20,25,b,100,caused
14,21,9,a,91,prevented
14,21,9,b,0,prevented
14,22,8,a,80,prevented
14,22,8,b,11,prevented
14,23,6,a,0,caused
14,23,6,b,99,caused
14,24,20,a,69,caused
14,24,20,b,70,caused
14,25,24,a,80,prevented
14,25,24,b,80,prevented
14,26,11,a,1,prevented
14,26,11,b,100,prevented
14,27,22,a,100,caused
14,27,22,b,1,caused
14,28,30,a,100,caused
14,28,30,b,1,caused
14,29,23,a,81,prevented
14,29,23,b,80,prevented
14,30,5,a,29,prevented
14,30,5,b,99,prevented
14,31,14,a,0,caused
14,31,14,b,0,caused
14,32,10,a,0,caused
14,32,10,b,89,caused
15,1,11,a,40,prevented
15,1,11,b,39,prevented
15,2,22,a,100,prevented
15,2,22,b,0,prevented
15,3,19,a,100,caused
15,3,19,b,100,caused
15,4,30,a,100,caused
15,4,30,b,100,caused
15,5,9,a,100,prevented
15,5,9,b,0,prevented
15,6,33,a,100,prevented
15,6,33,b,100,prevented
15,7,29,a,100,caused
15,7,29,b,100,caused
15,8,21,a,0,caused
15,8,21,b,100,caused
15,9,26,a,0,prevented
15,9,26,b,100,prevented
15,10,4,a,0,prevented
15,10,4,b,0,prevented
15,11,31,a,100,caused
15,11,31,b,0,caused
15,12,8,a,100,caused
15,12,8,b,15,caused
15,13,6,a,0,prevented
15,13,6,b,0,prevented
15,14,23,a,100,prevented
15,14,23,b,100,prevented
15,15,25,a,100,caused
15,15,25,b,100,caused
15,16,27,a,100,caused
15,16,27,b,0,caused
15,17,3,a,70,prevented
15,17,3,b,100,prevented
15,18,34,a,50,prevented
15,18,34,b,100,prevented
15,19,20,a,100,caused
15,19,20,b,100,caused
15,20,12,a,80,caused
15,20,12,b,100,caused
15,21,17,a,100,prevented
15,21,17,b,100,prevented
15,22,15,a,100,prevented
15,22,15,b,100,prevented
15,23,10,a,0,caused
15,23,10,b,100,caused
15,24,24,a,0,caused
15,24,24,b,100,caused
15,25,13,a,100,prevented
15,25,13,b,100,prevented
15,26,5,a,100,prevented
15,26,5,b,100,prevented
15,27,14,a,21,caused
15,27,14,b,0,caused
15,28,7,a,100,caused
15,28,7,b,0,caused
15,29,16,a,100,prevented
15,29,16,b,100,prevented
15,30,18,a,100,prevented
15,30,18,b,100,prevented
15,31,32,a,50,caused
15,31,32,b,50,caused
15,32,28,a,0,caused
15,32,28,b,50,caused
