date,data,extra,feedback
5/27/11,"11,15,2,11,16,76,3,10,10,85,13,0,1,2,18,98,17,100,4,13,8,0,7,2,9,87,15,91,6,100,12,97,5,100,14,78","1,29,0,10,5.051066666666666",""
5/27/11,"12,94,16,44,3,18,9,37,1,13,11,87,10,14,2,68,15,20,17,72,6,87,7,10,13,9,5,95,4,36,14,38,8,10,18,92","1,46,1,8,6.25625",""
5/27/11,"17,7,3,8,15,4,12,92,10,95,14,90,4,50,7,8,1,7,6,96,2,89,13,95,8,90,18,94,16,8,11,100,5,96,9,93","1,38,0,10,7.102616666666667",""
5/27/11,"12,100,1,0,3,70,6,99,18,100,13,0,14,0,7,0,16,75,10,1,15,0,11,97,9,98,4,97,8,1,5,97,17,100,2,0","2,21,0,10,5.481966666666667","This was fun!"
5/27/11,"7,5,15,86,17,98,14,72,2,0,5,100,10,19,18,100,3,92,12,100,16,36,11,100,1,1,13,0,9,92,6,99,8,0,4,63","2,39,1,10,6.246666666666667",""
5/27/11,"13,0,12,100,7,0,16,66,14,0,9,77,3,100,10,82,6,100,4,29,17,100,5,100,8,0,2,0,1,1,15,91,18,100,11,100","2,30,1,10,4.3940166666666665",""
5/27/11,"9,20,11,100,5,100,18,100,6,100,12,100,2,0,13,0,17,100,15,87,4,39,16,100,3,100,1,0,14,0,7,0,8,0,10,90","2,41,1,9,5.2818",""
5/27/11,"9,55,11,40,13,100,18,100,17,100,12,100,15,58,1,1,4,45,10,43,14,0,3,28,5,100,6,89,8,0,7,0,16,42,2,0","2,27,0,7,4.5782",""
5/27/11,"4,30,15,60,18,98,13,31,11,82,7,16,5,97,8,4,16,57,9,47,17,99,14,2,10,18,1,3,12,83,6,68,2,69,3,62","1,39,0,10,5.546866666666666",""
5/27/11,"4,41,16,73,2,0,17,100,7,0,11,100,5,100,12,100,10,80,3,78,1,13,14,2,6,91,13,7,18,99,15,99,8,5,9,65","2,25,0,9,5.2055",""
5/27/11,"1,8,6,82,16,42,11,55,14,6,2,5,8,57,9,33,17,93,18,99,5,98,10,27,12,72,15,68,13,10,7,5,3,37,4,33","1,38,0,10,5.673916666666667","This experiment was more fun than I expected!"
5/27/11,"9,27,8,20,13,18,12,70,18,100,11,100,2,22,17,100,16,35,1,0,10,37,5,100,4,0,3,42,14,13,7,0,15,57,6,100","1,22,0,10,5.13505",""
5/27/11,"13,75,5,67,2,26,7,19,9,37,1,36,15,21,10,68,11,68,8,13,18,97,6,86,3,26,16,33,14,63,17,97,12,90,4,65","1,54,0,10,8.867033333333334","From this experiment I could not determine what you are studying, but I did enjoy this task. I would have been happy to complete more trials."
5/27/11,"8,3,2,88,12,93,14,12,10,13,17,100,6,100,3,37,1,60,11,87,9,64,16,22,15,10,13,65,5,100,7,8,18,100,4,73","2,20,2,9,8.381616666666666","None"
5/27/11,"16,19,9,71,5,88,4,41,8,10,7,4,1,3,10,43,17,94,14,0,11,72,13,7,18,100,6,87,2,0,15,64,3,46,12,96","2,32,1,10,4.329166666666667",I was more confident in my answers toward the end.
5/27/11,"9,100,17,100,18,51,1,1,15,51,10,70,2,0,4,80,6,100,16,100,5,100,14,0,8,0,3,20,13,0,12,100,11,100,7,0","2,40,0,8,4.936483333333333",""
5/27/11,"8,14,17,80,3,67,16,36,12,29,4,64,5,100,6,97,11,89,1,37,2,28,10,99,18,99,14,66,15,70,7,4,13,16,9,69","1,30,0,9,5.1846","fun little game."
5/27/11,"13,0,5,100,10,11,6,94,4,87,9,90,8,63,7,21,12,100,14,19,1,15,17,100,2,2,15,12,16,90,18,95,11,100,3,9","1,41,0,9,4.861316666666666",""
5/27/11,"6,100,3,88,2,60,12,9,10,4,14,11,17,100,5,100,9,100,1,74,15,7,4,89,8,61,11,92,13,9,16,58,18,100,7,3","1,49,1,10,6.505683333333334",""
5/27/11,"12,16,17,100,2,69,15,19,6,76,8,0,16,26,9,29,14,61,7,6,11,100,3,31,13,0,1,13,5,100,4,35,18,100,10,19","2,20,2,2,5.383366666666666","It was annoying that the edge of the ball got cut off while it was moving."
6/27/14,"17,5,4,10,13,87,6,100,1,10,12,94,16,30,14,8,10,24,8,19,18,95,5,98,2,0,3,5,11,100,9,74,15,56,7,12","2,20,3,10,6.370866666666666","I messed up the first three. Sorry, the rest I did pretty well on. :)"
6/27/14,"12,21,10,58,8,19,5,78,6,84,17,91,15,35,13,10,2,17,3,39,16,62,4,82,9,58,14,0,7,23,18,100,1,8,11,89","2,24,4,9,6.721466666666666",""
6/27/14,"13,13,6,100,17,99,12,37,16,13,1,0,3,37,7,0,14,0,8,0,5,100,15,32,4,41,18,100,10,19,2,0,11,55,9,56","2,29,5,10,6.6663","At times, it seemed like the second clip of balls hitting was slightly different than the first."
6/27/14,"9,85,8,0,5,100,18,100,12,100,10,18,11,100,15,35,2,1,4,26,3,35,6,100,16,65,7,21,1,0,13,0,17,100,14,0","2,23,2,10,6.342833333333333",""
6/27/14,"10,26,11,100,5,100,14,0,1,8,13,0,3,10,7,0,15,14,16,22,6,84,9,34,8,6,2,31,17,99,4,67,18,100,12,100","2,41,2,9,7.027566666666667","This was a fun experiment"
6/27/14,"1,17,9,30,11,61,5,100,18,100,16,34,7,61,2,0,4,39,14,0,10,24,8,0,12,100,15,0,13,25,17,100,6,100,3,25","1,23,2,10,6.97185",""
6/27/14,"9,0,17,100,15,100,8,0,1,0,2,2,12,100,10,73,11,100,7,0,18,100,6,100,13,0,4,15,3,100,14,0,5,100,16,2","1,29,5,10,7.513233333333333","I'm kind of irritated at myself for missing some of them, when it went towards the corner of the gate I usually thought it would bounce out but some of them went in"
6/27/14,"11,74,9,40,13,18,3,50,4,43,1,21,15,76,18,98,8,6,10,93,14,95,7,16,16,65,5,97,17,83,12,56,2,38,6,89","1,34,0,10,7.509433333333333","None, went fine"
6/27/14,"3,11,7,0,5,89,1,0,2,0,10,7,8,0,14,64,16,12,13,0,6,32,4,0,18,100,11,79,12,93,17,100,9,33,15,35","2,23,7,10,7.622483333333333",none
6/27/14,"4,31,9,71,3,21,18,100,12,15,11,35,13,0,2,1,16,20,14,9,15,92,8,23,5,98,7,75,10,68,1,23,17,100,6,96","1,32,8,7,6.595",""
6/27/14,"17,69,4,27,6,83,11,64,15,55,10,41,1,15,5,91,3,69,16,32,14,2,13,5,2,37,12,74,7,40,9,40,8,31,18,69","2,27,2,8,9.700833333333334","Great"
6/27/14,"12,100,13,18,14,58,2,45,6,34,3,61,18,100,16,16,8,2,7,0,1,4,4,40,11,20,15,20,17,100,10,66,9,28,5,71","1,26,5,10,8.780016666666667","Interesting, fun expiriment. "
6/27/14,"14,0,4,35,15,21,3,29,16,66,13,1,17,100,18,100,6,100,8,0,12,100,11,100,1,0,7,0,10,61,5,100,9,65,2,0","1,37,0,10,12.6775","it was a very different survey...I enjoyed it..thanks!"
6/27/14,"11,96,2,0,6,96,18,95,4,36,7,3,12,98,10,25,3,5,1,10,9,41,16,70,17,99,8,5,15,42,13,2,14,3,5,99","2,27,3,10,12.50575","Definitely way up there in terms of the interesting HITs I've done today."
6/27/14,"7,27,17,100,4,18,16,6,15,1,9,47,14,2,5,99,6,79,10,24,1,27,12,99,18,97,2,0,8,13,11,82,13,2,3,1","2,32,5,10,8.943833333333334",""
6/27/14,"15,19,1,24,10,35,2,39,8,11,14,31,3,15,11,91,17,94,7,12,16,67,13,22,4,70,12,59,6,84,9,70,5,21,18,32","1,26,4,8,17.379883333333332","I thought the last one didn't have enough momentum to actuallly make it through so that surprised me"
6/27/14,"8,33,12,77,17,92,5,90,11,93,7,13,9,38,18,99,1,38,4,5,13,11,16,42,15,66,14,34,6,89,10,16,3,41,2,15","2,31,6,9,18.67331666666667",""
6/27/14,"12,100,18,100,13,0,8,37,4,20,7,30,15,67,1,10,5,81,9,98,2,16,10,20,17,78,3,17,16,83,14,13,6,98,11,90","1,31,2,7,7.817866666666666",""
6/27/14,"6,91,1,27,13,5,7,3,9,75,2,13,17,86,3,29,18,98,4,26,11,93,15,36,5,97,14,15,12,92,16,20,8,22,10,2","2,30,4,9,8.137183333333333","none. thanks"
6/27/14,"18,100,11,84,12,98,13,0,2,0,17,98,14,0,4,100,1,0,15,20,3,50,7,1,5,99,16,20,10,21,9,16,8,1,6,99","2,26,1,10,9.901716666666667",""
6/27/14,"18,97,11,4,12,98,9,23,17,95,4,19,6,50,3,56,14,19,15,61,1,37,7,13,5,93,2,4,10,42,16,68,13,31,8,30","1,51,7,4,9.377116666666666",""